x=-0.00862642   y=-0.00185425   z=-7.54786e-05
x=-0.0144687   y=-0.00161506   z=-4.35627e-05
x=-0.00493039   y=0.00269013   z=1.94881e-05
x=0.000253792   y=5.51385e-05   z=2.30048e-05
x=-0.00942318   y=0.00127369   z=-4.69066e-05
x=-0.000481999   y=-0.00522291   z=1.83379e-05
x=-0.00483536   y=-0.00353622   z=-5.88322e-05
x=-0.00299912   y=-0.00223629   z=-5.92383e-06
x=-0.00527007   y=-0.000116689   z=-6.13718e-06
x=-0.00894933   y=0.00285647   z=-4.63526e-05
x=-0.00595105   y=-0.000109999   z=-1.76892e-06
x=-0.00522808   y=0.00792309   z=3.14025e-05
x=-0.00522051   y=-0.00614994   z=-7.64847e-05
x=0.00339707   y=-0.00279622   z=-2.01338e-06
x=-0.00132294   y=-0.00745302   z=-1.81419e-05
x=-0.00712466   y=-0.0105621   z=-0.000141625
x=0.000191878   y=-0.00977877   z=-4.28328e-05
x=-0.00180869   y=0.000490385   z=-4.59097e-06
x=-0.00668226   y=0.00414859   z=-4.49612e-05
x=-0.008125   y=0.00137068   z=-7.28619e-05
x=-0.00513857   y=-0.00592576   z=-0.00010723
x=-0.00675589   y=0.00246122   z=-2.24969e-05
x=4.67967e-05   y=-0.000201919   z=-1.72074e-05
x=0.00197851   y=-0.00413996   z=7.41265e-06
x=-0.00698815   y=0.00165141   z=-6.96475e-05
x=0.00450258   y=-0.00225531   z=6.60326e-06
x=-0.0103078   y=-0.00391104   z=-0.000116523
x=0.00265701   y=-0.000328423   z=3.3986e-05
x=-0.000153977   y=-0.00350939   z=5.50334e-05
x=-0.00225713   y=-0.0112335   z=-3.95273e-05
x=0.00120575   y=-0.00240824   z=3.32824e-05
x=0.000771906   y=-0.00457219   z=5.60592e-06
x=-0.00189755   y=-0.000902239   z=5.19249e-05
x=0.00237821   y=0.000690647   z=2.42409e-05
x=-0.00423625   y=0.00125836   z=-1.97697e-05
x=-0.0061189   y=0.00280859   z=-4.35825e-05
x=-0.00985146   y=0.00257682   z=-5.89397e-05
x=0.00225602   y=-0.00521313   z=3.32352e-05
x=-0.00642294   y=0.00467967   z=-2.7974e-05
x=-0.00561821   y=-0.00531419   z=-4.78361e-05
x=-0.00918427   y=-0.0111924   z=-0.000108787
x=-0.00401407   y=-0.00508388   z=-5.7834e-05
x=-0.00413326   y=-0.00490448   z=-8.49375e-05
x=-0.0068307   y=-0.00274584   z=-7.02681e-05
x=-0.00447216   y=0.00148041   z=-5.34709e-06
x=-0.000172919   y=0.00183359   z=3.31221e-05
x=-0.00744298   y=-0.000345561   z=-3.32984e-05
x=-0.00879331   y=-0.00220868   z=-8.3148e-05
x=-0.00532474   y=-0.00458134   z=-4.52431e-05
x=-0.00444755   y=-0.00387502   z=-4.42099e-05
x=-0.00181414   y=-0.00209555   z=-2.36747e-05
x=-0.00912099   y=0.00258273   z=-4.72463e-05
x=-0.00194442   y=-0.00459767   z=-4.17935e-05
x=-0.0068117   y=-0.00764763   z=-6.74527e-05
x=-0.00319889   y=0.000788976   z=-8.45899e-06
x=-0.0039063   y=-0.00376423   z=-3.91668e-05
x=-0.00414107   y=0.00100594   z=1.10999e-05
x=0.00083907   y=0.0019013   z=3.33344e-05
x=-0.00187073   y=-0.00218477   z=1.4394e-06
x=-0.0050762   y=-0.0053882   z=-6.4316e-05
x=0.00195892   y=0.00378949   z=5.43486e-05
x=0.000352148   y=0.000199611   z=-1.77696e-05
x=0.00134651   y=-0.00136574   z=3.09439e-06
x=-0.00350412   y=0.000329091   z=-1.63398e-05
x=-0.00970472   y=-0.00105499   z=-6.5629e-05
x=-0.00492017   y=0.00226483   z=-2.42434e-05
x=-0.00603918   y=-0.000828891   z=1.21615e-05
x=-0.00802137   y=-0.000282361   z=-2.4547e-05
x=0.00702919   y=-0.00427624   z=5.48517e-05
x=-0.00985957   y=0.00151332   z=-4.40657e-05
x=-0.00666868   y=0.000820716   z=-1.96295e-05
x=-0.00510002   y=-0.00148129   z=-2.65025e-05
x=-0.00314348   y=0.00149816   z=-1.72527e-05
x=-0.00737644   y=0.00126501   z=-9.04512e-06
x=-0.00488498   y=-7.17546e-05   z=-2.06671e-05
x=-0.00949159   y=-0.000127245   z=-8.29621e-05
x=-0.00435003   y=-0.00311464   z=-1.45545e-05
x=-0.000460528   y=0.000358924   z=-2.50137e-05
x=-0.00328062   y=-0.00214114   z=-2.69481e-05
x=-0.00174697   y=0.000479401   z=-2.29371e-05
x=-0.00890723   y=-0.00151964   z=-7.71381e-05
x=-0.00527293   y=0.00611611   z=1.50753e-05
x=-0.0047801   y=-0.00695941   z=-1.54715e-05
x=-0.00627094   y=-0.00236659   z=-6.35462e-05
x=-0.00808609   y=-0.00736948   z=-0.000117438
x=-0.00705584   y=-0.00208974   z=1.00335e-05
x=0.00160409   y=-0.00193927   z=-4.81697e-06
x=-0.0042974   y=-0.0114467   z=-2.88673e-05
x=0.0015182   y=-0.0131917   z=-2.13835e-05
x=0.000473171   y=-0.0061252   z=7.43843e-06
x=-0.00149309   y=-0.00387522   z=-1.67466e-05
x=-0.00457259   y=-0.00176007   z=-8.86183e-06
x=0.000556412   y=-0.000919349   z=8.5006e-06
x=0.00209137   y=-0.000553988   z=6.97048e-05
x=-0.00313844   y=-0.00453796   z=-2.40222e-05
x=-0.00204256   y=0.000901664   z=4.15433e-05
x=-0.00833716   y=0.000908625   z=-7.11502e-05
x=0.00137969   y=0.00415956   z=3.20735e-05
x=-0.00676671   y=0.0083026   z=-2.84266e-05
x=-0.00138484   y=-0.00506148   z=-3.87115e-05
x=-0.00441269   y=0.000741003   z=1.10714e-05
x=0.00380564   y=-0.00295243   z=-5.7558e-07
x=-0.0051176   y=-0.000490591   z=3.52875e-06
x=0.00279655   y=0.00484373   z=5.89678e-05
x=-0.00173057   y=-0.00113498   z=3.52976e-05
x=-0.00860523   y=-0.0038916   z=-0.000122182
x=-0.00195604   y=-0.00247966   z=6.76381e-05
x=0.00228332   y=-0.00106286   z=-1.93572e-05
x=-0.00365236   y=-0.0077885   z=-6.96255e-05
x=-0.00777916   y=0.000221372   z=-9.11943e-05
x=-0.00423795   y=-0.00131891   z=-1.73361e-05
x=-0.00438703   y=-0.00410097   z=-4.2397e-05
x=-0.0101582   y=-0.00195253   z=-3.40373e-05
x=-0.0101666   y=0.00321007   z=-7.09528e-05
x=0.00102099   y=-0.00450918   z=-3.70661e-06
x=-0.000906871   y=0.000183891   z=-2.06376e-05
x=-0.000523981   y=0.0062989   z=9.56322e-05
x=0.00496486   y=-0.00861471   z=4.54248e-05
x=-0.00563486   y=-0.00878145   z=-3.34254e-05
x=5.51825e-05   y=-0.00628062   z=-5.32498e-06
x=0.000910841   y=-0.00147353   z=6.12837e-05
x=-0.00302029   y=-0.000976372   z=3.07999e-05
x=-0.000394958   y=-0.00155206   z=5.15035e-06
x=-0.00895332   y=0.00143933   z=-3.6992e-05
x=-0.0067789   y=0.00905395   z=-4.0451e-05
x=-0.0118289   y=-0.00366921   z=-9.73732e-05
x=-0.00178134   y=0.00230971   z=-5.82636e-06
x=-0.0045369   y=0.000970893   z=-3.54299e-05
x=-0.00884709   y=0.0044855   z=-3.21829e-05
x=-0.00909243   y=0.00263875   z=-3.06695e-05
x=-0.000796136   y=0.00169851   z=-3.15363e-05
x=-0.00273867   y=-0.000304362   z=-1.47744e-05
x=-0.00607133   y=-0.0018044   z=-2.65319e-05
x=-0.0101579   y=0.00510437   z=-0.00010462
x=-0.00279428   y=-0.000231428   z=2.25494e-05
x=-0.00809641   y=0.00197772   z=-7.20915e-05
x=-0.00569266   y=-0.00102237   z=-3.41411e-06
x=-0.00761279   y=-0.000292914   z=-4.48701e-05
x=0.00212285   y=-0.00473462   z=6.57607e-05
x=-0.00696282   y=-0.00149629   z=-1.99639e-05
x=-0.00249825   y=-0.00210287   z=-5.4878e-06
x=-0.00235477   y=-0.000158834   z=1.70321e-05
x=-0.00660995   y=-0.0111789   z=-0.000142387
x=0.00149517   y=-0.00555344   z=6.11129e-05
x=-0.00267978   y=-0.00278874   z=-1.7319e-05
x=-0.000974224   y=-0.00544369   z=2.0961e-05
x=-0.000607002   y=0.00485502   z=5.69201e-05
x=-0.00354123   y=-0.000787655   z=-4.2924e-05
x=-0.000791729   y=-0.00532616   z=-1.09933e-05
x=-0.00382662   y=0.00843279   z=-3.13288e-05
x=-0.0115864   y=-0.0027452   z=-0.000175039
x=-0.0111041   y=-0.00471526   z=-0.000134798
x=0.0022357   y=0.000914142   z=2.50229e-05
x=-0.00653009   y=0.00667413   z=-4.00935e-06
x=-0.00897741   y=-0.000520082   z=-9.39586e-05
x=-0.00207703   y=-0.00148015   z=-1.68066e-06
x=-0.00507715   y=0.00231158   z=1.28035e-05
x=0.0032233   y=0.00380907   z=3.38987e-05
x=-0.0064795   y=-0.000805068   z=-7.25485e-05
x=0.000840528   y=-0.00153613   z=1.89381e-05
x=-0.000572915   y=0.000336735   z=2.26456e-05
x=-0.00430829   y=0.000919411   z=-5.17781e-06
x=-0.00337843   y=0.00890714   z=-2.23925e-05
x=-0.00427543   y=0.00448303   z=0.000111371
x=-0.00440295   y=-0.00470473   z=-5.40791e-05
x=-0.00299157   y=-0.00218487   z=-7.59758e-05
x=-0.00470838   y=0.0146422   z=4.19749e-05
x=-0.00838129   y=-0.0106796   z=-8.13355e-05
x=-0.00209943   y=0.00275965   z=-3.32957e-06
x=-2.41717e-05   y=0.00218909   z=4.52888e-05
x=-0.00286101   y=-0.00279078   z=-4.47859e-05
x=-0.00619744   y=-0.000893187   z=-7.80737e-05
x=-0.00983809   y=-0.00263973   z=-8.93576e-05
x=-0.00341648   y=0.00195139   z=-2.86328e-05
x=-0.00682541   y=-0.00322703   z=-8.01566e-05
x=-0.00562513   y=0.00859239   z=-3.56911e-05
x=-0.00538571   y=0.00702174   z=2.47419e-05
x=-0.00761546   y=-0.000209359   z=-3.88678e-05
x=-0.00571393   y=0.000337434   z=-5.97743e-05
x=-0.00614619   y=-0.000413461   z=-0.000104176
x=-0.00170307   y=0.000271071   z=7.70076e-05
x=-0.0094863   y=-0.00498338   z=-9.04688e-05
x=-0.00426998   y=0.00318627   z=4.2032e-05
x=-0.00483098   y=-0.00606646   z=-8.7494e-05
x=-0.000333571   y=-0.000601025   z=-2.65124e-05
x=-0.0064358   y=0.000468598   z=-3.79055e-05
x=-0.0110768   y=0.00657683   z=-0.000101061
x=-0.00386037   y=0.00407841   z=-3.78091e-05
x=-0.00512382   y=0.0010372   z=-2.60505e-05
x=-0.00900752   y=0.00422441   z=-6.91238e-05
x=-0.00431069   y=0.00679243   z=5.0234e-05
x=-0.0120977   y=0.00331873   z=-7.86193e-05
x=-0.00466024   y=0.00189279   z=-4.40181e-05
x=-0.00791446   y=5.39502e-05   z=-2.83401e-05
x=-0.00256018   y=0.000875879   z=2.87029e-05
x=-0.00790927   y=-0.00230983   z=-0.000104666
x=-0.00261561   y=-0.00316935   z=-5.08946e-05
